Threatened_species,Year,Series,Value
India,2010,Threatened Species: Total (number),758
Dominican Republic,2004,Threatened Species: Plants (number),30
Trinidad and Tobago,2018,Threatened Species: Vertebrates (number),58
Montserrat,2020,Threatened Species: Plants (number),7
China,2020,Threatened Species: Plants (number),637
Honduras,2016,Threatened Species: Vertebrates (number),156
Togo,2016,Threatened Species: Vertebrates (number),63
Puerto Rico,2010,Threatened Species: Plants (number),53
Ethiopia,2017,Threatened Species: Invertebrates (number),15
China,2010,Threatened Species: Invertebrates (number),32
Netherlands,2010,Threatened Species: Total (number),24
United Rep. of Tanzania,2004,Threatened Species: Vertebrates (number),144
India,2016,Threatened Species: Invertebrates (number),135
Mexico,2018,Threatened Species: Vertebrates (number),657
Uzbekistan,2004,Threatened Species: Invertebrates (number),1
Benin,2016,Threatened Species: Total (number),86
Rwanda,2010,Threatened Species: Plants (number),4
Latvia,2016,Threatened Species: Vertebrates (number),16
Tajikistan,2017,Threatened Species: Invertebrates (number),3
"China, Hong Kong SAR",2016,Threatened Species: Total (number),63
Bermuda,2017,Threatened Species: Invertebrates (number),28
Tonga,2010,Threatened Species: Plants (number),4
Albania,2017,Threatened Species: Plants (number),0
Estonia,2019,Threatened Species: Invertebrates (number),7
Indonesia,2020,Threatened Species: Plants (number),627
San Marino,2020,Threatened Species: Vertebrates (number),1
Venezuela (Boliv. Rep. of),2016,Threatened Species: Total (number),320
United States Virgin Islands,2010,Threatened Species: Total (number),33
Jamaica,2017,Threatened Species: Total (number),311
Belgium,2004,Threatened Species: Total (number),36
Maldives,2019,Threatened Species: Plants (number),0
Suriname,2018,Threatened Species: Vertebrates (number),57
Andorra,2020,Threatened Species: Invertebrates (number),8
Barbados,2019,Threatened Species: Plants (number),3
Heard Is. and McDonald Is.,2004,Threatened Species: Total (number),12
Eritrea,2018,Threatened Species: Vertebrates (number),67
Cambodia,2004,Threatened Species: Plants (number),31
Jamaica,2019,Threatened Species: Vertebrates (number),91
United Arab Emirates,2004,Threatened Species: Plants (number),0
Myanmar,2020,Threatened Species: Total (number),357
Réunion,2020,Threatened Species: Total (number),145
Nigeria,2010,Threatened Species: Plants (number),172
Other non-specified areas,2004,Threatened Species: Vertebrates (number),79
Mauritania,2019,Threatened Species: Vertebrates (number),86
Italy,2017,Threatened Species: Invertebrates (number),194
El Salvador,2004,Threatened Species: Vertebrates (number),23
Samoa,2020,Threatened Species: Invertebrates (number),64
Kyrgyzstan,2004,Threatened Species: Total (number),16
Pakistan,2019,Threatened Species: Total (number),148
Uruguay,2019,Threatened Species: Invertebrates (number),2
Niger,2017,Threatened Species: Total (number),34
Micronesia (Fed. States of),2004,Threatened Species: Plants (number),4
Malaysia,2018,Threatened Species: Plants (number),712
Samoa,2010,Threatened Species: Vertebrates (number),23
Mexico,2017,Threatened Species: Vertebrates (number),655
