Threatened_species,Year,Series,Value
Kiribati,2019,Threatened Species: Total (number),105
Martinique,2016,Threatened Species: Invertebrates (number),2
Italy,2019,Threatened Species: Invertebrates (number),222
Paraguay,2004,Threatened Species: Total (number),50
Anguilla,2020,Threatened Species: Plants (number),3
Marshall Islands,2019,Threatened Species: Invertebrates (number),73
Romania,2016,Threatened Species: Total (number),92
Somalia,2004,Threatened Species: Vertebrates (number),46
Areas n.e.s,2016,Threatened Species: Invertebrates (number),1
Kenya,2004,Threatened Species: Invertebrates (number),27
Guernsey,2018,Threatened Species: Total (number),5
New Caledonia,2004,Threatened Species: Invertebrates (number),11
Liberia,2010,Threatened Species: Invertebrates (number),9
Cambodia,2019,Threatened Species: Invertebrates (number),79
Liberia,2019,Threatened Species: Invertebrates (number),10
United States of America,2004,Threatened Species: Vertebrates (number),342
Liechtenstein,2020,Threatened Species: Plants (number),5
Turkey,2020,Threatened Species: Total (number),435
Saint Pierre and Miquelon,2004,Threatened Species: Total (number),2
Spain,2018,Threatened Species: Invertebrates (number),288
Turkey,2010,Threatened Species: Vertebrates (number),130
Nigeria,2018,Threatened Species: Total (number),364
Svalbard and Jan Mayen Is.,2017,Threatened Species: Plants (number),0
Equatorial Guinea,2004,Threatened Species: Plants (number),61
Suriname,2010,Threatened Species: Total (number),65
Kazakhstan,2016,Threatened Species: Invertebrates (number),7
Austria,2016,Threatened Species: Vertebrates (number),27
Panama,2017,Threatened Species: Vertebrates (number),153
Dominican Republic,2016,Threatened Species: Invertebrates (number),16
Bolivia (Plurin. State of),2018,Threatened Species: Invertebrates (number),3
Guernsey,2017,Threatened Species: Invertebrates (number),0
Panama,2019,Threatened Species: Invertebrates (number),22
Cabo Verde,2016,Threatened Species: Total (number),65
"China, Macao SAR",2016,Threatened Species: Vertebrates (number),10
Eswatini,2020,Threatened Species: Invertebrates (number),0
Paraguay,2020,Threatened Species: Vertebrates (number),46
Israel,2010,Threatened Species: Invertebrates (number),58
American Samoa,2004,Threatened Species: Total (number),24
Uganda,2010,Threatened Species: Plants (number),41
Iraq,2010,Threatened Species: Plants (number),0
North Macedonia,2010,Threatened Species: Plants (number),0
Netherlands,2019,Threatened Species: Vertebrates (number),29
Morocco,2017,Threatened Species: Total (number),207
Malaysia,2020,Threatened Species: Vertebrates (number),351
Bulgaria,2020,Threatened Species: Vertebrates (number),49
China,2016,Threatened Species: Total (number),1079
Other non-specified areas,2020,Threatened Species: Vertebrates (number),144
Cambodia,2020,Threatened Species: Total (number),280
Brunei Darussalam,2017,Threatened Species: Total (number),193
Grenada,2004,Threatened Species: Total (number),23
Suriname,2019,Threatened Species: Total (number),86
Micronesia (Fed. States of),2019,Threatened Species: Total (number),168
Syrian Arab Republic,2019,Threatened Species: Vertebrates (number),91
Ecuador,2010,Threatened Species: Invertebrates (number),62
Chile,2019,Threatened Species: Total (number),224
Croatia,2010,Threatened Species: Vertebrates (number),77
French Guiana,2020,Threatened Species: Total (number),79
Solomon Islands,2016,Threatened Species: Plants (number),17
Aruba,2004,Threatened Species: Vertebrates (number),17
Gambia,2018,Threatened Species: Invertebrates (number),2
Netherlands,2004,Threatened Species: Invertebrates (number),7
Kiribati,2010,Threatened Species: Total (number),90
"China, Hong Kong SAR",2020,Threatened Species: Invertebrates (number),9
Croatia,2017,Threatened Species: Invertebrates (number),73
Nepal,2004,Threatened Species: Plants (number),7
Ghana,2020,Threatened Species: Vertebrates (number),128
Guernsey,2017,Threatened Species: Vertebrates (number),5
Bermuda,2004,Threatened Species: Invertebrates (number),25
Timor-Leste,2019,Threatened Species: Invertebrates (number),1
Oman,2019,Threatened Species: Total (number),108
Brazil,2020,Threatened Species: Invertebrates (number),66
Mauritius,2020,Threatened Species: Total (number),272
Faroe Islands,2020,Threatened Species: Invertebrates (number),0
Western Sahara,2020,Threatened Species: Invertebrates (number),3
Cocos (Keeling) Islands,2019,Threatened Species: Total (number),37
Guyana,2017,Threatened Species: Invertebrates (number),1
Pitcairn,2016,Threatened Species: Plants (number),7
U.S. Minor Outlying islands,2004,Threatened Species: Plants (number),0
Bouvet Island,2017,Threatened Species: Plants (number),0
Norfolk Island,2018,Threatened Species: Invertebrates (number),23
Northern Mariana Islands,2004,Threatened Species: Plants (number),4
Bosnia and Herzegovina,2020,Threatened Species: Invertebrates (number),43
Hungary,2019,Threatened Species: Plants (number),59
South Africa,2004,Threatened Species: Invertebrates (number),127
Saint Pierre and Miquelon,2020,Threatened Species: Invertebrates (number),0
Egypt,2020,Threatened Species: Plants (number),8
Eritrea,2016,Threatened Species: Vertebrates (number),58
San Marino,2017,Threatened Species: Total (number),1
Saint Pierre and Miquelon,2019,Threatened Species: Plants (number),0
Viet Nam,2018,Threatened Species: Vertebrates (number),278
Italy,2017,Threatened Species: Vertebrates (number),87
Bahrain,2020,Threatened Species: Plants (number),0
Gambia,2017,Threatened Species: Plants (number),5
Eritrea,2010,Threatened Species: Vertebrates (number),44
Tunisia,2016,Threatened Species: Plants (number),7
Monaco,2018,Threatened Species: Invertebrates (number),3
Faroe Islands,2019,Threatened Species: Invertebrates (number),0
Vanuatu,2019,Threatened Species: Plants (number),10
Puerto Rico,2016,Threatened Species: Total (number),126
Curaçao,2018,Threatened Species: Total (number),51
Niger,2020,Threatened Species: Plants (number),4
Armenia,2020,Threatened Species: Invertebrates (number),9
Wallis and Futuna Islands,2010,Threatened Species: Invertebrates (number),57
Montenegro,2017,Threatened Species: Vertebrates (number),57
Jersey,2020,Threatened Species: Plants (number),1
Sierra Leone,2016,Threatened Species: Plants (number),65
Guatemala,2017,Threatened Species: Vertebrates (number),176
Seychelles,2010,Threatened Species: Plants (number),45
Bangladesh,2018,Threatened Species: Plants (number),22
French Guiana,2010,Threatened Species: Invertebrates (number),0
Palau,2017,Threatened Species: Vertebrates (number),32
United Rep. of Tanzania,2010,Threatened Species: Vertebrates (number),313
French Guiana,2020,Threatened Species: Plants (number),20
Bouvet Island,2017,Threatened Species: Invertebrates (number),0
Japan,2004,Threatened Species: Vertebrates (number),148
Madagascar,2004,Threatened Species: Plants (number),276
Puerto Rico,2019,Threatened Species: Vertebrates (number),76
Brunei Darussalam,2019,Threatened Species: Invertebrates (number),12
Benin,2020,Threatened Species: Invertebrates (number),3
Afghanistan,2016,Threatened Species: Invertebrates (number),2
Viet Nam,2004,Threatened Species: Total (number),289
Cook Islands,2019,Threatened Species: Invertebrates (number),32
Senegal,2016,Threatened Species: Vertebrates (number),95
"China, Macao SAR",2017,Threatened Species: Invertebrates (number),1
Ukraine,2019,Threatened Species: Plants (number),36
Gambia,2004,Threatened Species: Vertebrates (number),17
Turks and Caicos Islands,2018,Threatened Species: Vertebrates (number),42
Wallis and Futuna Islands,2018,Threatened Species: Total (number),89
Christmas Island,2010,Threatened Species: Invertebrates (number),16
Netherlands,2017,Threatened Species: Vertebrates (number),27
Cook Islands,2018,Threatened Species: Invertebrates (number),32
Guyana,2004,Threatened Species: Invertebrates (number),1
U.S. Minor Outlying islands,2016,Threatened Species: Vertebrates (number),25
U.S. Minor Outlying islands,2019,Threatened Species: Vertebrates (number),24
Bulgaria,2017,Threatened Species: Total (number),104
San Marino,2020,Threatened Species: Total (number),2
Austria,2016,Threatened Species: Invertebrates (number),69
Lebanon,2019,Threatened Species: Plants (number),29
Tonga,2019,Threatened Species: Total (number),80
Sri Lanka,2017,Threatened Species: Plants (number),290
Andorra,2010,Threatened Species: Total (number),8
Belgium,2010,Threatened Species: Total (number),27
Dominica,2004,Threatened Species: Plants (number),11
Bahrain,2020,Threatened Species: Total (number),47
Maldives,2017,Threatened Species: Plants (number),0
Guinea,2020,Threatened Species: Vertebrates (number),168
Nicaragua,2016,Threatened Species: Vertebrates (number),78
Antarctica,2017,Threatened Species: Total (number),6
Croatia,2019,Threatened Species: Vertebrates (number),93
United Rep. of Tanzania,2020,Threatened Species: Plants (number),726
British Indian Ocean Terr.,2004,Threatened Species: Vertebrates (number),6
Northern Mariana Islands,2004,Threatened Species: Vertebrates (number),22
Poland,2004,Threatened Species: Plants (number),4
Dem. Rep. of the Congo,2010,Threatened Species: Total (number),296
Montserrat,2010,Threatened Species: Plants (number),3
Anguilla,2016,Threatened Species: Invertebrates (number),10
Norway,2020,Threatened Species: Plants (number),61
Andorra,2017,Threatened Species: Plants (number),0
Honduras,2018,Threatened Species: Total (number),309
Isle of Man,2017,Threatened Species: Total (number),3
Nepal,2016,Threatened Species: Plants (number),17
Brunei Darussalam,2004,Threatened Species: Total (number),148
Afghanistan,2004,Threatened Species: Vertebrates (number),31
Norway,2004,Threatened Species: Vertebrates (number),22
Tuvalu,2020,Threatened Species: Vertebrates (number),21
New Zealand,2016,Threatened Species: Vertebrates (number),128
American Samoa,2004,Threatened Species: Vertebrates (number),18
Tajikistan,2016,Threatened Species: Plants (number),12
Republic of Moldova,2019,Threatened Species: Plants (number),2
Tokelau,2018,Threatened Species: Vertebrates (number),14
Other non-specified areas,2017,Threatened Species: Total (number),337
France,2004,Threatened Species: Invertebrates (number),65
Solomon Islands,2018,Threatened Species: Plants (number),16
Togo,2004,Threatened Species: Plants (number),10
Jordan,2019,Threatened Species: Vertebrates (number),55
Tuvalu,2016,Threatened Species: Vertebrates (number),17
Ethiopia,2016,Threatened Species: Plants (number),41
South Africa,2016,Threatened Species: Plants (number),116
Mexico,2004,Threatened Species: Total (number),748
Liberia,2019,Threatened Species: Vertebrates (number),114
Morocco,2019,Threatened Species: Plants (number),55
Poland,2010,Threatened Species: Plants (number),4
French Southern Territories,2020,Threatened Species: Invertebrates (number),0
Colombia,2020,Threatened Species: Total (number),1025
Bhutan,2019,Threatened Species: Total (number),99
Iran (Islamic Republic of),2016,Threatened Species: Plants (number),3
France,2020,Threatened Species: Plants (number),116
Suriname,2004,Threatened Species: Plants (number),27
Réunion,2004,Threatened Species: Plants (number),14
Senegal,2020,Threatened Species: Vertebrates (number),109
Brazil,2020,Threatened Species: Plants (number),596
Fiji,2004,Threatened Species: Plants (number),66
Lao People's Dem. Rep.,2017,Threatened Species: Total (number),209
Uzbekistan,2018,Threatened Species: Invertebrates (number),3
Ireland,2018,Threatened Species: Plants (number),5
Montserrat,2010,Threatened Species: Total (number),35
Svalbard and Jan Mayen Is.,2016,Threatened Species: Vertebrates (number),7
Madagascar,2018,Threatened Species: Invertebrates (number),194
Faroe Islands,2018,Threatened Species: Plants (number),1
Eritrea,2004,Threatened Species: Vertebrates (number),31
Tuvalu,2018,Threatened Species: Total (number),96
Samoa,2017,Threatened Species: Plants (number),2
China,2020,Threatened Species: Invertebrates (number),84
Réunion,2019,Threatened Species: Invertebrates (number),89
Guatemala,2019,Threatened Species: Total (number),321
Ukraine,2010,Threatened Species: Total (number),61
U.S. Minor Outlying islands,2017,Threatened Species: Plants (number),0
Niue,2018,Threatened Species: Plants (number),0
Bangladesh,2017,Threatened Species: Plants (number),21
Slovenia,2017,Threatened Species: Plants (number),11
Haiti,2020,Threatened Species: Vertebrates (number),161
Central African Republic,2020,Threatened Species: Invertebrates (number),0
Saint Kitts and Nevis,2018,Threatened Species: Vertebrates (number),40
Latvia,2017,Threatened Species: Invertebrates (number),12
Afghanistan,2010,Threatened Species: Invertebrates (number),1
Greenland,2018,Threatened Species: Total (number),25
Maldives,2017,Threatened Species: Total (number),75
Sweden,2018,Threatened Species: Invertebrates (number),16
United Kingdom,2017,Threatened Species: Invertebrates (number),18
Belgium,2004,Threatened Species: Invertebrates (number),11
Saudi Arabia,2019,Threatened Species: Vertebrates (number),77
Northern Mariana Islands,2020,Threatened Species: Plants (number),6
Myanmar,2017,Threatened Species: Invertebrates (number),77
Lesotho,2016,Threatened Species: Plants (number),4
Micronesia (Fed. States of),2018,Threatened Species: Invertebrates (number),114
Burkina Faso,2018,Threatened Species: Total (number),30
Morocco,2018,Threatened Species: Plants (number),49
Trinidad and Tobago,2004,Threatened Species: Invertebrates (number),0
Brazil,2016,Threatened Species: Vertebrates (number),397
Belgium,2017,Threatened Species: Invertebrates (number),14
El Salvador,2017,Threatened Species: Vertebrates (number),47
Canada,2019,Threatened Species: Plants (number),37
Albania,2016,Threatened Species: Invertebrates (number),62
Yemen,2010,Threatened Species: Plants (number),159
Tonga,2017,Threatened Species: Plants (number),4
Guatemala,2019,Threatened Species: Vertebrates (number),185
Sao Tome and Principe,2020,Threatened Species: Invertebrates (number),4
Turks and Caicos Islands,2020,Threatened Species: Vertebrates (number),47
Cuba,2010,Threatened Species: Total (number),304
Peru,2017,Threatened Species: Total (number),685
Brazil,2017,Threatened Species: Vertebrates (number),403
Dominica,2019,Threatened Species: Vertebrates (number),47
Singapore,2019,Threatened Species: Plants (number),62
Sudan,2004,Threatened Species: Invertebrates (number),2
Madagascar,2020,Threatened Species: Vertebrates (number),556
Paraguay,2019,Threatened Species: Total (number),64
Saint Martin (French part),2017,Threatened Species: Vertebrates (number),39
Sweden,2019,Threatened Species: Plants (number),41
Kuwait,2010,Threatened Species: Vertebrates (number),28
Botswana,2018,Threatened Species: Vertebrates (number),28
Tokelau,2020,Threatened Species: Plants (number),0
Sierra Leone,2017,Threatened Species: Vertebrates (number),103
Greece,2019,Threatened Species: Invertebrates (number),308
Spain,2019,Threatened Species: Invertebrates (number),288
Timor-Leste,2016,Threatened Species: Total (number),22
Cabo Verde,2017,Threatened Species: Invertebrates (number),13
Bangladesh,2020,Threatened Species: Plants (number),25
Haiti,2020,Threatened Species: Total (number),269
Chile,2016,Threatened Species: Plants (number),72
Jamaica,2020,Threatened Species: Plants (number),214
Bosnia and Herzegovina,2018,Threatened Species: Total (number),95
Germany,2010,Threatened Species: Total (number),79
Bosnia and Herzegovina,2004,Threatened Species: Total (number),40
Albania,2019,Threatened Species: Invertebrates (number),71
Other non-specified areas,2020,Threatened Species: Plants (number),89
Djibouti,2010,Threatened Species: Total (number),81
Somalia,2020,Threatened Species: Vertebrates (number),84
Burkina Faso,2004,Threatened Species: Invertebrates (number),0
Serbia,2019,Threatened Species: Total (number),84
Côte d’Ivoire,2017,Threatened Species: Vertebrates (number),130
Viet Nam,2019,Threatened Species: Total (number),700
Aruba,2017,Threatened Species: Vertebrates (number),28
Madagascar,2016,Threatened Species: Invertebrates (number),110
Tonga,2010,Threatened Species: Total (number),58
Cook Islands,2018,Threatened Species: Total (number),75
Cambodia,2020,Threatened Species: Invertebrates (number),79
Estonia,2016,Threatened Species: Invertebrates (number),6
Paraguay,2020,Threatened Species: Plants (number),20
Belgium,2017,Threatened Species: Total (number),37
Suriname,2019,Threatened Species: Vertebrates (number),57
Egypt,2004,Threatened Species: Invertebrates (number),1
Sudan,2017,Threatened Species: Total (number),133
"Bonaire, St. Eustatius & Saba",2017,Threatened Species: Plants (number),3
Dem. People's Rep. Korea,2004,Threatened Species: Vertebrates (number),40
Zimbabwe,2016,Threatened Species: Total (number),61
Saint Kitts and Nevis,2017,Threatened Species: Invertebrates (number),10
Holy See,2017,Threatened Species: Vertebrates (number),1
Hungary,2016,Threatened Species: Invertebrates (number),35
Eswatini,2010,Threatened Species: Total (number),29
Mayotte,2004,Threatened Species: Vertebrates (number),6
Papua New Guinea,2018,Threatened Species: Total (number),499
Ireland,2010,Threatened Species: Vertebrates (number),24
Bermuda,2019,Threatened Species: Total (number),75
Guyana,2020,Threatened Species: Invertebrates (number),1
Réunion,2018,Threatened Species: Total (number),131
Armenia,2017,Threatened Species: Invertebrates (number),9
Niue,2019,Threatened Species: Vertebrates (number),23
Suriname,2020,Threatened Species: Invertebrates (number),1
Marshall Islands,2019,Threatened Species: Plants (number),0
Dominica,2019,Threatened Species: Total (number),70
Tokelau,2019,Threatened Species: Plants (number),0
Eritrea,2004,Threatened Species: Invertebrates (number),0
United States Virgin Islands,2018,Threatened Species: Invertebrates (number),0
Poland,2004,Threatened Species: Total (number),46
Honduras,2019,Threatened Species: Total (number),318
Equatorial Guinea,2017,Threatened Species: Plants (number),87
Honduras,2004,Threatened Species: Plants (number),111
El Salvador,2018,Threatened Species: Vertebrates (number),47
Cook Islands,2018,Threatened Species: Vertebrates (number),32
China,2019,Threatened Species: Vertebrates (number),441
Dominican Republic,2018,Threatened Species: Total (number),191
Suriname,2010,Threatened Species: Plants (number),26
Côte d’Ivoire,2010,Threatened Species: Total (number),210
South Georgia & Sandwich Is.,2018,Threatened Species: Vertebrates (number),9
Guernsey,2016,Threatened Species: Invertebrates (number),0
Kiribati,2004,Threatened Species: Total (number),11
Iraq,2017,Threatened Species: Total (number),72
Venezuela (Boliv. Rep. of),2018,Threatened Species: Total (number),335
Germany,2016,Threatened Species: Invertebrates (number),57
Palau,2017,Threatened Species: Plants (number),4
Botswana,2010,Threatened Species: Invertebrates (number),0
Mexico,2020,Threatened Species: Plants (number),791
Serbia,2010,Threatened Species: Plants (number),1
Bahrain,2016,Threatened Species: Invertebrates (number),13
Turkey,2018,Threatened Species: Vertebrates (number),201
Cayman Islands,2017,Threatened Species: Invertebrates (number),11
Argentina,2016,Threatened Species: Invertebrates (number),14
Israel,2018,Threatened Species: Plants (number),23
"China, Macao SAR",2018,Threatened Species: Invertebrates (number),1
Uzbekistan,2020,Threatened Species: Plants (number),16
Antarctica,2004,Threatened Species: Total (number),8
North Macedonia,2010,Threatened Species: Invertebrates (number),59
Austria,2019,Threatened Species: Invertebrates (number),74
United States Virgin Islands,2004,Threatened Species: Vertebrates (number),22
Denmark,2017,Threatened Species: Plants (number),4
Seychelles,2020,Threatened Species: Total (number),451
Zambia,2019,Threatened Species: Invertebrates (number),14
Chad,2010,Threatened Species: Plants (number),2
Spain,2016,Threatened Species: Total (number),592
Tuvalu,2016,Threatened Species: Plants (number),0
Pakistan,2004,Threatened Species: Plants (number),2
Namibia,2010,Threatened Species: Invertebrates (number),0
Guatemala,2017,Threatened Species: Plants (number),101
Honduras,2004,Threatened Species: Vertebrates (number),93
Iran (Islamic Republic of),2019,Threatened Species: Invertebrates (number),24
South Georgia & Sandwich Is.,2019,Threatened Species: Vertebrates (number),9
Turkey,2020,Threatened Species: Plants (number),138
Bulgaria,2016,Threatened Species: Vertebrates (number),49
Sierra Leone,2018,Threatened Species: Total (number),184
Ireland,2016,Threatened Species: Vertebrates (number),40
Canada,2018,Threatened Species: Invertebrates (number),37
Burkina Faso,2004,Threatened Species: Plants (number),2
Kuwait,2016,Threatened Species: Total (number),49
Other non-specified areas,2016,Threatened Species: Total (number),336
Svalbard and Jan Mayen Is.,2018,Threatened Species: Total (number),9
Morocco,2020,Threatened Species: Plants (number),61
India,2020,Threatened Species: Plants (number),430
Myanmar,2018,Threatened Species: Vertebrates (number),187
Brazil,2020,Threatened Species: Vertebrates (number),416
Suriname,2016,Threatened Species: Plants (number),27
Kyrgyzstan,2019,Threatened Species: Total (number),43
Tajikistan,2019,Threatened Species: Invertebrates (number),3
Heard Is. and McDonald Is.,2010,Threatened Species: Plants (number),0
Azerbaijan,2016,Threatened Species: Plants (number),42
Luxembourg,2004,Threatened Species: Total (number),10
Bangladesh,2018,Threatened Species: Total (number),154
Aruba,2019,Threatened Species: Total (number),38
Samoa,2017,Threatened Species: Total (number),93
Uruguay,2004,Threatened Species: Plants (number),1
Algeria,2017,Threatened Species: Vertebrates (number),79
Grenada,2020,Threatened Species: Vertebrates (number),47
Mongolia,2018,Threatened Species: Total (number),40
Antigua and Barbuda,2018,Threatened Species: Plants (number),4
Japan,2016,Threatened Species: Plants (number),46
Malawi,2018,Threatened Species: Invertebrates (number),14
Malawi,2018,Threatened Species: Vertebrates (number),136
Gibraltar,2020,Threatened Species: Vertebrates (number),29
Liberia,2018,Threatened Species: Total (number),175
Egypt,2018,Threatened Species: Invertebrates (number),56
Slovakia,2010,Threatened Species: Total (number),34
Lao People's Dem. Rep.,2004,Threatened Species: Invertebrates (number),0
American Samoa,2010,Threatened Species: Vertebrates (number),21
British Indian Ocean Terr.,2010,Threatened Species: Total (number),76
Iran (Islamic Republic of),2020,Threatened Species: Vertebrates (number),125
Viet Nam,2019,Threatened Species: Plants (number),236
Samoa,2018,Threatened Species: Plants (number),2
Saint Kitts and Nevis,2010,Threatened Species: Total (number),36
Sudan,2019,Threatened Species: Total (number),151
Hungary,2019,Threatened Species: Total (number),119
Areas n.e.s,2016,Threatened Species: Plants (number),0
Saint Helena,2019,Threatened Species: Vertebrates (number),42
Finland,2010,Threatened Species: Vertebrates (number),10
Ireland,2016,Threatened Species: Plants (number),3
Samoa,2016,Threatened Species: Vertebrates (number),29
Comoros,2010,Threatened Species: Invertebrates (number),63
Croatia,2004,Threatened Species: Plants (number),0
Guinea,2017,Threatened Species: Vertebrates (number),134
Kazakhstan,2018,Threatened Species: Invertebrates (number),7
Pakistan,2019,Threatened Species: Vertebrates (number),118
El Salvador,2020,Threatened Species: Invertebrates (number),10
Sri Lanka,2004,Threatened Species: Vertebrates (number),112
Pitcairn,2018,Threatened Species: Invertebrates (number),16
Northern Mariana Islands,2017,Threatened Species: Vertebrates (number),40
Zimbabwe,2017,Threatened Species: Invertebrates (number),5
Bolivia (Plurin. State of),2019,Threatened Species: Plants (number),112
Netherlands,2019,Threatened Species: Total (number),59
Malta,2018,Threatened Species: Total (number),39
Ukraine,2016,Threatened Species: Plants (number),19
Samoa,2019,Threatened Species: Plants (number),2
Chad,2016,Threatened Species: Invertebrates (number),4
Dominica,2016,Threatened Species: Total (number),64
Netherlands,2010,Threatened Species: Invertebrates (number),6
Seychelles,2020,Threatened Species: Vertebrates (number),68
Saint Vincent & Grenadines,2019,Threatened Species: Plants (number),6
Botswana,2019,Threatened Species: Invertebrates (number),0
New Caledonia,2018,Threatened Species: Total (number),592
Bangladesh,2010,Threatened Species: Total (number),122
Mexico,2019,Threatened Species: Plants (number),529
Burkina Faso,2019,Threatened Species: Vertebrates (number),28
Antarctica,2016,Threatened Species: Invertebrates (number),0
Slovenia,2018,Threatened Species: Plants (number),11
British Indian Ocean Terr.,2018,Threatened Species: Total (number),85
Chad,2016,Threatened Species: Vertebrates (number),31
Burkina Faso,2010,Threatened Species: Plants (number),3
Congo,2020,Threatened Species: Plants (number),56
French Polynesia,2004,Threatened Species: Plants (number),47
Isle of Man,2019,Threatened Species: Total (number),3
Australia,2010,Threatened Species: Total (number),853
Bosnia and Herzegovina,2019,Threatened Species: Vertebrates (number),50
Guatemala,2018,Threatened Species: Total (number),301
Lebanon,2017,Threatened Species: Total (number),87
Greece,2004,Threatened Species: Plants (number),2
Georgia,2018,Threatened Species: Vertebrates (number),42
Republic of Korea,2019,Threatened Species: Vertebrates (number),82
Jordan,2018,Threatened Species: Invertebrates (number),61
Zambia,2016,Threatened Species: Invertebrates (number),14
Sao Tome and Principe,2017,Threatened Species: Total (number),94
Antarctica,2018,Threatened Species: Vertebrates (number),6
Seychelles,2020,Threatened Species: Plants (number),62
Chad,2019,Threatened Species: Total (number),48
French Southern Territories,2020,Threatened Species: Total (number),29
Bahamas,2017,Threatened Species: Plants (number),8
Portugal,2016,Threatened Species: Plants (number),83
Romania,2018,Threatened Species: Invertebrates (number),68
Togo,2017,Threatened Species: Vertebrates (number),65
Bosnia and Herzegovina,2017,Threatened Species: Vertebrates (number),51
Barbados,2020,Threatened Species: Invertebrates (number),11
Eswatini,2018,Threatened Species: Total (number),38
Panama,2019,Threatened Species: Total (number),394
Guinea,2020,Threatened Species: Plants (number),189
Armenia,2018,Threatened Species: Invertebrates (number),9
Luxembourg,2019,Threatened Species: Vertebrates (number),4
Bolivia (Plurin. State of),2004,Threatened Species: Invertebrates (number),1
Mozambique,2020,Threatened Species: Plants (number),208
Republic of Moldova,2017,Threatened Species: Plants (number),2
Costa Rica,2017,Threatened Species: Plants (number),140
Turks and Caicos Islands,2019,Threatened Species: Total (number),63
Antarctica,2018,Threatened Species: Invertebrates (number),0
Papua New Guinea,2017,Threatened Species: Total (number),493
Dem. Rep. of the Congo,2017,Threatened Species: Vertebrates (number),182
Albania,2017,Threatened Species: Total (number),130
Morocco,2010,Threatened Species: Vertebrates (number),86
Aruba,2004,Threatened Species: Invertebrates (number),1
Western Sahara,2004,Threatened Species: Vertebrates (number),18
Burundi,2019,Threatened Species: Invertebrates (number),6
Egypt,2019,Threatened Species: Plants (number),8
United States of America,2019,Threatened Species: Invertebrates (number),581
Tajikistan,2010,Threatened Species: Total (number),40
Indonesia,2004,Threatened Species: Plants (number),383
Bhutan,2019,Threatened Species: Invertebrates (number),1
Myanmar,2019,Threatened Species: Total (number),337
United Rep. of Tanzania,2017,Threatened Species: Plants (number),602
Cyprus,2018,Threatened Species: Invertebrates (number),15
Mayotte,2010,Threatened Species: Total (number),69
Gambia,2017,Threatened Species: Invertebrates (number),2
Djibouti,2004,Threatened Species: Plants (number),2
Lesotho,2017,Threatened Species: Total (number),18
Bolivia (Plurin. State of),2017,Threatened Species: Total (number),231
India,2010,Threatened Species: Plants (number),255
Qatar,2017,Threatened Species: Total (number),39
Saint Pierre and Miquelon,2018,Threatened Species: Invertebrates (number),0
Israel,2010,Threatened Species: Total (number),131
Hungary,2004,Threatened Species: Vertebrates (number),25
Saudi Arabia,2004,Threatened Species: Plants (number),3
Cook Islands,2020,Threatened Species: Plants (number),11
Djibouti,2016,Threatened Species: Invertebrates (number),57
Pakistan,2004,Threatened Species: Total (number),72
Malaysia,2020,Threatened Species: Invertebrates (number),314
Montserrat,2020,Threatened Species: Invertebrates (number),11
Côte d’Ivoire,2018,Threatened Species: Plants (number),117
United States of America,2018,Threatened Species: Plants (number),498
Comoros,2020,Threatened Species: Total (number),127
Tunisia,2004,Threatened Species: Vertebrates (number),31
Latvia,2004,Threatened Species: Invertebrates (number),8
Northern Mariana Islands,2010,Threatened Species: Vertebrates (number),29
Andorra,2017,Threatened Species: Total (number),13
Paraguay,2004,Threatened Species: Invertebrates (number),0
Paraguay,2010,Threatened Species: Invertebrates (number),0
Guernsey,2020,Threatened Species: Invertebrates (number),0
Costa Rica,2016,Threatened Species: Invertebrates (number),31
Colombia,2018,Threatened Species: Total (number),851
Ethiopia,2020,Threatened Species: Vertebrates (number),101
Wallis and Futuna Islands,2017,Threatened Species: Invertebrates (number),64
Turks and Caicos Islands,2018,Threatened Species: Invertebrates (number),10
Dominican Republic,2020,Threatened Species: Invertebrates (number),19
Congo,2016,Threatened Species: Plants (number),45
"Bonaire, St. Eustatius & Saba",2017,Threatened Species: Invertebrates (number),11
Mayotte,2010,Threatened Species: Invertebrates (number),60
British Virgin Islands,2018,Threatened Species: Plants (number),20
Kuwait,2004,Threatened Species: Vertebrates (number),20
Iraq,2019,Threatened Species: Vertebrates (number),58
Niue,2010,Threatened Species: Invertebrates (number),23
South Africa,2018,Threatened Species: Total (number),607
Burundi,2016,Threatened Species: Invertebrates (number),7
Wallis and Futuna Islands,2004,Threatened Species: Invertebrates (number),0
Sudan,2010,Threatened Species: Plants (number),18
Belarus,2010,Threatened Species: Total (number),16
Portugal,2019,Threatened Species: Plants (number),150
Falkland Islands (Malvinas),2020,Threatened Species: Plants (number),6
Bahrain,2018,Threatened Species: Vertebrates (number),27
Bahamas,2016,Threatened Species: Plants (number),8
Timor-Leste,2017,Threatened Species: Vertebrates (number),22
Palau,2016,Threatened Species: Plants (number),4
Colombia,2004,Threatened Species: Plants (number),222
Palau,2018,Threatened Species: Invertebrates (number),146
Western Sahara,2018,Threatened Species: Plants (number),0
Christmas Island,2010,Threatened Species: Vertebrates (number),16
Mali,2017,Threatened Species: Vertebrates (number),34
French Southern Territories,2020,Threatened Species: Plants (number),1
Zambia,2010,Threatened Species: Plants (number),9
San Marino,2019,Threatened Species: Vertebrates (number),0
Western Sahara,2018,Threatened Species: Vertebrates (number),48
New Caledonia,2020,Threatened Species: Total (number),759
British Virgin Islands,2017,Threatened Species: Total (number),67
Central African Republic,2020,Threatened Species: Total (number),73
Lithuania,2019,Threatened Species: Vertebrates (number),18
